"sku","quantity","threshold"
"kdq185",25,5
"kdq162",25,5
"KDFD016",25,5
"KDQ170",25,5
"KDFD017",25,5
"kdq130",25,5
"KDVT1067",25,5
"kdq163",25,5
"KDKB1278",25,5
"KDKB1284",25,5
"KDAC210",25,5
"KDKB265",25,5
"KD814",25,5
"KDKB262",25,5
"KDQ168",25,5
"KDQ2301",25,5
"KDQ151",25,5
"KDVT1053",25,5
"KD5121",25,5
"KDQ132",25,5
"KDQ166",25,5
"kdq165",25,5
"KDQ167",25,5
"KDQ200",25,5
"KDQ199",25,5
"KDQ201",25,5
"kdq210",25,5
"KDQ198",25,5
"KDQ2302",25,5
"KDQ196",25,5
"KDQ195",25,5
"KDQ197",25,5
"KDQ149",25,5
"KDQ158",25,5
"KDEV383",25,5
"KDQ202",25,5
"KDFD018",25,5
"KDQ203",25,5
"KDDE202-5C",25,5
"KDQ156",25,5
"KDQ157",25,5
"KDQ155",25,5
"KDQ2303",25,5
"KDQ206",25,5
"KDQ205",25,5
"KDQ131",25,5
"KDDE202-10C",25,5
"KDDE202-11C",25,5
"KDDE202-9C",25,5
"KDKB263",25,5
"KDDE202-12C",25,5
"KDTL112",25,5
"KDQ204",25,5
"KDDE202-8C",25,5
"KDKB1279",25,5
"KD5127",25,5
"KDMR158",25,5
"KDDL1083",25,5
"KD5128",25,5
"KDQ231",25,5
"KDQ2304",25,5
"KDQ238",25,5
"KD5129",25,5
"KDQ208",25,5
"KDKB266",25,5
"KDQ207",25,5
"KDVT1088",25,5
"KDVT1089",25,5
"KDQ218",25,5
"KDQ219",25,5
"KDVT1003",25,5
"KDVT1087",25,5
"KDQ212",25,5
"KDQ214",25,5
"KDQ215",25,5
"KDQ211",25,5
"KDQ213",25,5
"KDQ209",25,5
"KDVT1070",25,5
"KDQ2305",25,5
"KDQ216",25,5
"KDQ221",25,5
"KDQ220",25,5
"KDQ217",25,5
"KDEV386",25,5
"KDQ222",25,5
"KDVT1085",25,5
"KDQ223",25,5
"KDVT1071",25,5
"KDVT1096",25,5
"KDQ224",25,5
"KDQ225",25,5
"KDQ226",25,5
"KDQ2306",25,5
"KDFD020",25,5
"KDQ227",25,5
"KDVT1090",25,5
"KDFD019",25,5
"KDQ228",25,5
"KDVT1092",25,5
"kdfd021",25,5
"KDVT1091",25,5
"KDQ2307",25,5
"KDQ229",25,5
"KDQ230",25,5
"KDKB1285",25,5
"KDVT1105",25,5
"KDVT1079",25,5
"KDDE203",25,5
"KD5130",25,5
"KDQ246",25,5
"KDKB1286",25,5
"KDKB1283",25,5
"KDTL114",25,5
"KDMR159",25,5
"KDVT1101",25,5
"KDVT1121",25,5
"KDVT1104",25,5
"KDVT1103",25,5
"KDKB269",25,5
"KDDL1084",25,5
"KDDL1085",25,5
"KDDL1086",25,5
"KDDL1087",25,5
"KDDL1088",25,5
"KDDL1094",25,5
"KDDL1089",25,5
"KDDL1090",25,5
"KDDL1091",25,5
"KDDL1092",25,5
"KDDL1093",25,5
"KDQ232",25,5
"KDKB240",25,5
"KDQ233",25,5
"KDQ234",25,5
"KDQ235",25,5
"KDQ2308",25,5
"KDVT1095",25,5
"KDDE203-W",25,5
"KDQ237",25,5
"KDQ239",25,5
"KDVT1094",25,5
"KDQ241",25,5
"KDDL1201",25,5
"KDFD022",25,5
"KDDL1200",25,5
"KDQ236",25,5
"KDQ240",25,5
"KDDE203-1C",25,5
"KDDE203-3C",25,5
"KDDE203-4C",25,5
"KDDE203-2C",25,5
"KDDE203-5C",25,5
"KDDE203-7C",25,5
"KDDE203-8C",25,5
"KDDE203-9C",25,5
"KDDE203-10C",25,5
"KDQ242",25,5
"KDDE203-6C",25,5
"KDFD1098",25,5
"KDDE203-13C",25,5
"KDDL1202",25,5
"KDDE203-11C",25,5
"KDQ2309",25,5
"KDDE203-12C",25,5
"KDVT1082",25,5
"KDQ245",25,5
"KDQ256",25,5
"KDQ243",25,5
"KDQ247",25,5
"KDQ248",25,5
"KDQ244",25,5
"KDEV389",25,5
"KDQ251",25,5
"KDQ250",25,5
"KDQ252",25,5
"KDQ253",25,5
"KDQ254",25,5
"KDQ249",25,5
"KDEV361",25,5
"KDQ255",25,5
"KDQ257",25,5
"KDQ259",25,5
"KDQ260",25,5
"KDQ2310",25,5
"KDQ258",25,5
"KDVT1102",25,5
"KDDL1203",25,5
"KDQ264",25,5
"KDQ262",25,5
"KDQ263",25,5
"KDQ265",25,5
"KDQ266",25,5
"KDQ268",25,5
"KDQ267",25,5
"KDQ269",25,5
"KDQ271",25,5
"KDQ270",25,5
"KDQ261",25,5
"KDKB1292",25,5
"KD5134",25,5
"KD815",25,5
"KDQ272",25,5
"KDDL1105",25,5
"KDDL1104",25,5
"KDDL1103",25,5
"KDDL1102",25,5
"KDDL1101",25,5
"KDDL1100",25,5
"KDDL1099",25,5
"KDDL1096",25,5
"KDDL1095",25,5
"KDDL1097",25,5
"KDTL113",25,5
"KDQ274",25,5
"KDQ273",25,5
"KDQ276",25,5
"KDQ275",25,5
"KDQ277",25,5
"KDKB1289",25,5
"KDKB1290",25,5
"KDMR160",25,5
"KDQ2311",25,5
"KDQ287",25,5
"KDQ278",25,5
"KDKB1288",25,5
"KDKB270",25,5
"KDDL1098",25,5
"KDQ2312",25,5
"KDEV392",25,5
"KDQ281",25,5
"KDVT1112",25,5
"KDQ294",25,5
"KDQ280",25,5
"KDQ282",25,5
"KDQ284",25,5
"KDVT1006",25,5
"KDVT1110",25,5
"KDQ289",25,5
"KDQ288",25,5
"KDQ290",25,5
"KDQ291",25,5
"KDQ300",25,5
"KD816",25,5
"KDQ295",25,5
"kdq2401",25,5
"KDVT1076",25,5
"KDQ292",25,5
"KD5136",25,5
"KDQ293",25,5
"KDQ315",25,5
"KDKB1293",25,5
"kdq279",25,5
"KDQ286",25,5
"kdq2402",25,5
"KDQ285",25,5
"KDVT1069",25,5
"KDQ306",25,5
"KDQ296",25,5
"KDQ297",25,5
"KD818",25,5
"KDVT1113",25,5
"KDKB1297",25,5
"kdq305",25,5
"kdq304",25,5
"KDVT1068",25,5
"KDQ303",25,5
"KDQ301",25,5
"KDQ2403",25,5
"KDQ302",25,5
"KDQ298",25,5
"KDQ312",25,5
"KDQ316",25,5
"KDQ307",25,5
"KDQ317",25,5
"KDQ320",25,5
"KDQ319",25,5
"KDQ321",25,5
"KDQ322",25,5
"KDQ323",25,5
"KDQ324",25,5
"KD817",25,5
"KDQ318",25,5
"KDQ308",25,5
"kdq328",25,5
"KDQ309",25,5
"KDQ2404",25,5
"KDFD027",25,5
"KDQ283",25,5
"KDQ327",25,5
"KDQ311",25,5
"KDQ314",25,5
"KDVT1109",25,5
"KDQ299",25,5
"KDQ310",25,5
"KDTL118",25,5
"KDTL119",25,5
"KDQ326",25,5
"KDQ325",25,5
"KDQ332",25,5
"KDQ329",25,5
"KDQ331",25,5
"KDQ330",25,5
"KDQ313",25,5
"KDVT1107",25,5
"KDKB1301",25,5
"kdq333",25,5
"KBWB100",25,5
"KDQ2405",25,5
"KDKB1298",25,5
"KD809-D",25,5
"KDKB1296",25,5
"KDQ335",25,5
"KDOR1000",25,5
"KDQ334",25,5
"KDQ336",25,5
"kdq342",25,5
"KDQ339",25,5
"KDKB268",25,5
"KDTL124",25,5
"KDMR127",25,5
"KDMR138",25,5
"KDQ338",25,5
"KDFD029",25,5
"KBWB101",25,5
"KDQ337",25,5
"kdq352",25,5
"KDQ348",25,5
"kddltest",25,5
"KDEV400",25,5
"KDTL120",25,5
"kdvt1093",25,5
"KDFD030",25,5
"kdq341",25,5
"KDDS1001",25,5
"KDQ2406",25,5
"KDQ340",25,5
"KDQ350",25,5
"kdfd003-pk",25,5
"KDKB271",25,5
"KDQ351",25,5
"KDMR170",25,5
"KDMB01",25,5
"KD818-TK",25,5
"KDQ-W100",25,5
"KD5142",25,5
"KDQ349",25,5
"KDQ2407",25,5
"KDQ343",25,5
"kdq346",25,5
"KDQ345",25,5
"KDQ347",25,5
"KBWB102",25,5
"kdkb1302",25,5
"KDQ353",25,5
"kdq344",25,5
"kdvt1084",25,5
"KDQ355",25,5
"KDMR144",25,5
"KDKB1300",25,5
"KDQ356",25,5
"KDQ358",25,5
"KDMB02",25,5
"KDQ2408",25,5
"KDQ364",25,5
"KBWB104",25,5
"KDMR171",25,5
"KBWB110",25,5
"KD820",25,5
"KBWB106",25,5
"KDQ354",25,5
"KDTL116",25,5
"KDQ361",25,5
"kdq359",25,5
"KDQ357",25,5
"KD527-1",25,5
"KBWB103",25,5
"kdq363",25,5
"KD805-D",25,5
"kdq362",25,5
"KD5141",25,5
"KDMR800",25,5
"KDMB03",25,5
"KMEK1000",25,5
"KDQ371",25,5
"KDDE204-1",25,5
"KDDE204-5",25,5
"KDDE204-6",25,5
"KDDE204-4",25,5
"KDDE204-8",25,5
"KDDE204-9",25,5
"KDDE204-10",25,5
"KDDE204-11",25,5
"KDDE204-3",25,5
"KDDE204-12",25,5
"KDDE204-2",25,5
"KDDE204-7",25,5
"KDDE204-13",25,5
"KDKB274",25,5
"KDKB272",25,5
"KDKB273",25,5
"KDQ2409",25,5
"KDQ360",25,5
"KBWB107",25,5
"KDDE204",25,5
"KPNK1000",25,5
"KDEV404",25,5
"KPNK1007",25,5
"KPNK1010",25,5
"KDQ367",25,5
"KDFD1108",25,5
"KDDE204-E",25,5
"KDTL117",25,5
"KDOR1001",25,5
"KPNK1012",25,5
"KDQ365",25,5
"KDQ368",25,5
"KBWB108",25,5
"KDTL126",25,5
"KDQ394",25,5
"KDQ393",25,5
"KPNK1002",25,5
"KDQ366",25,5
"KDDE204-W",25,5
"KPNK1003",25,5
"KPNK1004",25,5
"KD801-D",25,5
"KDQ370",25,5
"KBWB111",25,5
"KPNK1001",25,5
"KBWB113",25,5
"KBWB109",25,5
"KDMR801",25,5
"KBWB112",25,5
"KDQ2410",25,5
"KMEK1002",25,5
"KDQ369",25,5
"KBWB114",25,5
"KDMB04",25,5
"KDST146",25,5
"KBWB122",25,5
"KDKB1305",25,5
"KDQ372",25,5
"KDQ376",25,5
"KDKB1304",25,5
"KDQ375",25,5
"KMEK1003",25,5
"KDKB275",25,5
"KPNK1005",25,5
"KBWB123",25,5
"KBWB124",25,5
"KPNK1008",25,5
"KD807-D",25,5
"KBWB125",25,5
"KDQ2411",25,5
"KDQ374",25,5
"KDQ377",25,5
"KPNK1006",25,5
"KDQ380",25,5
"KDKB1303",25,5
"KD808-D",25,5
"KDQ387",25,5
"KDQ379",25,5
"KDQ389",25,5
"KPNK1011",25,5
"KDDL1108",25,5
"KBWB126",25,5
"KDTL121",25,5
"KDQ381",25,5
"KDQ388",25,5
"KDQ2412",25,5
"KD820-D",25,5
"KBWB127",25,5
"KDQ390",25,5
"KD5145-D",25,5
"KDQ391",25,5
"KDQ383",25,5
"KDQ382",25,5
"KDQ385",25,5
"KD5108-D",25,5
"KDQ384",25,5
"KD548-D",25,5
"MTPP2301-S1",25,5
"KDEV397",25,5
"KBWB128",25,5
"KD596-D",25,5
"KDMR141",25,5
"MTPP2404-K",25,5
"MTPP2310-K",25,5
"MTPP2405-K",25,5
"KDQ396",25,5
"MTPP2403-K",25,5
"KDQ395",25,5
"KD515-D",25,5
"MTPP2312-K",25,5
"KDKB1291",25,5
"KBWB129",25,5
"MTBB10-308",25,5
"KDQ392",25,5
"MTPP2402-K",25,5
"KDQ397",25,5
"MTS-90589-76",25,5
"MTBB8-305",25,5
"KD587-D",25,5
"KDKB1306",25,5
"KPNK1015",25,5
"KDQ400",25,5
"MTBB8-301",25,5
"KPNK1014",25,5
"KD5145",25,5
"KDQ401",25,5
"MFB-01",25,5
"KMEK1004",25,5
"KPNK1016",25,5
"KMEK1005",25,5
"KDFD031",25,5
"KDQ402",25,5
"KDQ399",25,5
"KD578-D",25,5
"KD5121-D",25,5
"KD5117-D",25,5
"KD5104-D",25,5
"KD594-D",25,5
"KDKB1277",25,5
"KDQ404",25,5
"KDQ405",25,5
"KMEK1009",25,5
"KDQ412",25,5
"MTBB7-300",25,5
"KDQ403",25,5
"KDQ415",25,5
"MTBB10-305",25,5
"MTS-TD-01",25,5
"MTBB8-306",25,5
"KMEK1011",25,5
"MTS-105",25,5
"KMEK1010",25,5
"KD5122-D",25,5
"KDQ413",25,5
"KD507-D",25,5
"KDQ398",25,5
"KDKB1307",25,5
"KD5106-D",25,5
"KDTL125",25,5
"KD5144-D",25,5
"KDQ414",25,5
"KD5101-D",25,5
"KDEV409-D",25,5
"KDQ432",25,5
"KDKB1252",25,5
"MTHS2403-K",25,5
"KDKB1248",25,5
"KDQ407",25,5
"KDQ417",25,5
"MTHS2410-S6-1",25,5
"KDQ408",25,5
"KDQ409",25,5
"KDQ411",25,5
"KDQ410",25,5
"MTHS2410-K",25,5
"XP1002",25,5
"XP1001",25,5
"KD5148-D",25,5
"KDQ416",25,5
"XP1004",25,5
"XP1003",25,5
"KDQ422",25,5
"kd2001-d",25,5
"MTPP2311-S2",25,5
"KD802-D",25,5
"KD571-D",25,5
"KDQ406",25,5
"KDQ419",25,5
"KPNK1017",25,5
"KDQ418",25,5
"KMEK1008",25,5
"KMEK1007",25,5
"KPNK1018",25,5
"MTPP2306-K",25,5
"MTPP2406-K",25,5
"MTPP2409-K",25,5
"KDQ420",25,5
"KPNK1019",25,5
"KD2001",25,5
"KDKB1309",25,5
"KDQ421",25,5
"KDDE201-3C",25,5
"KDDE201-5C",25,5
"KDDE201-4C",25,5
"KDDE201-6C",25,5
"KDDE201-8C",25,5
"KDDE201-7C",25,5
"KDDE201-9C",25,5
"KDDE201-11C",25,5
"KDDE201-12C",25,5
"KDDE201-10C",25,5
"KDDE201-13C",25,5
"KD5135-D",25,5
"KDEV396-D",25,5
"KD521-D",25,5
"KDQ424",25,5
"KDKB1310",25,5
"KD530-D",25,5
"MTHS2405-K",25,5
"KDMB05",25,5
"KDQ425",25,5
"KDQ423",25,5
"MTS-CPR32771",25,5
"Misc-s",25,5
"KDQ426",25,5
"KDMR172",25,5
"KD2003-D",25,5
"KDKB1312",25,5
"MTS-K001-32 SURF",25,5
"KBWB131",25,5
"KDQ428",25,5
"KD2002-D",25,5
"X3154-11",25,5
"KDQ427",25,5
"KDQ429",25,5
"KD202-D",25,5
"KD517-D",25,5
"KD5148",25,5
"KBWB132",25,5
"KDQ430",25,5
"KD2003",25,5
"MR-KBTOTE",25,5
"KDQ433",25,5
"KDTL127",25,5
"KD810-D",25,5
"KD2002",25,5
"KDQ431",25,5
"KDMB06",25,5
"MTPP2210-S1",25,5
"KDQ436",25,5
"KD5147-D",25,5
"KPNK1020-K",25,5
"X3150-2",25,5
"KDEV410-D",25,5
"KPNK1023",25,5
"KDQ435",25,5
"KPNK1021-K",25,5
"KDQ434",25,5
"KD522-D",25,5
"KDQ437",25,5
"KDQ440",25,5
"KDQ438",25,5
"KDQ439",25,5
"KD527-D",25,5
"KDKB279",25,5
"KD585-D",25,5
"KDKB282",25,5
"KDQ441",25,5
"KD599-D",25,5
"KDQ442",25,5
"HAT_GRY_275",25,5
"PNT_DEN_285",25,5
"PNT_DEN_305",25,5
"PNT_DEN_405",25,5
"SRT_COT_111",25,5
"SRT_COT_122",25,5
"SRT_COT_133",25,5
"SRT_COT_211",25,5
"SRT_COT_222",25,5
"SRT_COT_233",25,5
"SRT_COT_311",25,5
"SRT_COT_322",25,5
"SRT_COT_333",25,5
"SRT_COT_411",25,5
"SRT_COT_422",25,5
"SRT_COT_433",25,5